itemid,label,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,abbreviation
225120,Appetite,chartevents,Adm History/FHPA,,Text,,,Appetite
225090,Interpreter,chartevents,Adm History/FHPA,,Text,,,Interpreter
225101,Use of assistive devices,chartevents,Adm History/FHPA,,Text,,,Use of assistive devices
228688,Delirium,chartevents,MD Progress Note,,Text,,,Delirium
229567,Plan-Renal/GU,chartevents,MD Progress Note,,Text,,,Plan-Renal/GU
229452,Exam-Neuro,chartevents,MD Progress Note,,Text,,,Exam-Neuro
228718,Billing Diagnosis,chartevents,MD Progress Note,,Text,,,Billing Diagnosis
228685,Admission type,chartevents,MD Progress Note,,Text,,,Admission type
228689,Discharge from ICU,chartevents,MD Progress Note,,Text,,,Discharge from ICU
228693,Hematological_OLD_1,chartevents,MD Progress Note,,Text,,,Hematological_OLD_1
229425,ROS-Respiratory,chartevents,MD Progress Note,,Text,,,ROS-Respiratory
228700,DVT Prophy,chartevents,MD Progress Note,,Text,,,DVT Prophy
229288,Nutrition,chartevents,MD Progress Note,,Text,,,Nutrition
228692,Glucose Control - Prophy,chartevents,MD Progress Note,,Text,,,Glucose Control - Prophy
229454,Exam-Ext/MSK,chartevents,MD Progress Note,,Text,,,Exam-Ext/MSK
228701,Hematological / Skin,chartevents,MD Progress Note,,Text,,,Hematological / Skin
228702,Lines/Tubes,chartevents,MD Progress Note,,Text,,,Lines/Tubes
229286,Prophylaxisold,chartevents,MD Progress Note,,Text,,,Prophylaxisold
229570,Plan-ID,chartevents,MD Progress Note,,Text,,,Plan-ID
228705,Nutrition,chartevents,MD Progress Note,,Text,,,Nutrition
229428,ROS-Skin,chartevents,MD Progress Note,,Text,,,ROS-Skin
229293,Pain Control,chartevents,MD Progress Note,,Text,,,Pain Control
229432,ROS-Psych,chartevents,MD Progress Note,,Text,,,ROS-Psych
229424,ROS-Cardiac,chartevents,MD Progress Note,,Text,,,ROS-Cardiac
229032,HEENT,chartevents,MD Progress Note,,Text,,,HEENT
229430,ROS-Endocrine,chartevents,MD Progress Note,,Text,,,ROS-Endocrine
229027,Constitutional,chartevents,MD Progress Note,,Text,,,Constitutional
229564,Plan-Abdominal/GI,chartevents,MD Progress Note,,Text,,,Plan-Abdominal/GI
228695,Lines/Tubes_OLD_1,chartevents,MD Progress Note,,Text,,,Lines/Tubes_OLD_1
228708,Renal,chartevents,MD Progress Note,,Text,,,Renal
228712,VAP - Prophy,chartevents,MD Progress Note,,Text,,,VAP - Prophy
228686,Cardiovascular_OLD_1,chartevents,MD Progress Note,,Text,,,Cardiovascular_OLD_1
228699,Cardiovascular,chartevents,MD Progress Note,,Text,,,Cardiovascular
228713,Vascular,chartevents,MD Progress Note,,Text,,,Vascular
229426,ROS-GI,chartevents,MD Progress Note,,Text,,,ROS-GI
229423,ROS-Neuro,chartevents,MD Progress Note,,Text,,,ROS-Neuro
229566,Plan-Nutritional,chartevents,MD Progress Note,,Text,,,Plan-Nutritional
228690,DVT Prophy_OLD_1,chartevents,MD Progress Note,,Text,,,DVT Prophy_OLD_1
228703,Musculoskeletal,chartevents,MD Progress Note,,Text,,,Musculoskeletal
229416,Disposition,chartevents,MD Progress Note,,Text,,,Disposition
228707,Progress,chartevents,MD Progress Note,,Text,,,Progress
229592,Exam-GU,chartevents,MD Progress Note,,Text,,,Exam-GU
228697,Mobilization Plan,chartevents,MD Progress Note,,Text,,,Mobilization Plan
228706,Pain control old,chartevents,MD Progress Note,,Text,,,Pain control old
229568,Plan-Hematology,chartevents,MD Progress Note,,Text,,,Plan-Hematology
228684,Abdominal - (GI / Hepatic)_OLD_1,chartevents,MD Progress Note,,Text,,,Abdominal - (GI / Hepatic)_OLD_1
228710,Sedation goal,chartevents,MD Progress Note,,Text,,,Sedation goal
229561,Plan-Cardiac,chartevents,MD Progress Note,,Text,,,Plan-Cardiac
229562,Plan-Neuro,chartevents,MD Progress Note,,Text,,,Plan-Neuro
229421,ROS-General,chartevents,MD Progress Note,,Text,,,ROS-General
229431,ROS-Extremeties / MSK,chartevents,MD Progress Note,,Text,,,ROS-Extremeties / MSK
229569,Plan-Endocrine,chartevents,MD Progress Note,,Text,,,Plan-Endocrine
228709,Respiratory,chartevents,MD Progress Note,,Text,,,Respiratory
229422,ROS-HEENT,chartevents,MD Progress Note,,Text,,,ROS-HEENT
229427,ROS-GU,chartevents,MD Progress Note,,Text,,,ROS-GU
229502,MDnoteConsent,chartevents,MD Progress Note,,Text,,,MDnoteConsent
228704,Neurological,chartevents,MD Progress Note,,Text,,,Neurological
229079,Pain Controlled,chartevents,MD Progress Note,,Text,,,Pain Controlled
229292,GI Prophy,chartevents,MD Progress Note,,Text,,,GI Prophy
228691,Febrile last 24 hours,chartevents,MD Progress Note,,Text,,,Febrile last 24 hours
229429,ROS-Heme / Lymph,chartevents,MD Progress Note,,Text,,,ROS-Heme / Lymph
228687,Code Status.,chartevents,MD Progress Note,,Text,,,Code Status.
228698,Abdominal - (GI / Hepatic / Renal),chartevents,MD Progress Note,,Text,,,Abdominal - (GI / Hepatic / Renal)
229594,Exam-GI/GU,chartevents,MD Progress Note,,Text,,,Exam-GI/GU
229453,Exam-GI/GU,chartevents,MD Progress Note,,Text,,,Exam-GI/GU
229455,Exam-Skin,chartevents,MD Progress Note,,Text,,,Exam-Skin
228694,ICU Consent,chartevents,MD Progress Note,,Text,,,ICU Consent
229082,Rounds included,chartevents,MD Progress Note,,Text,,,Rounds included
229571,Plan-MSK/Skin/Wound,chartevents,MD Progress Note,,Text,,,Plan-MSK/Skin/Wound
229291,Prophylaxis,chartevents,MD Progress Note,,Text,,,Prophylaxis
229563,Plan-Respiratory,chartevents,MD Progress Note,,Text,,,Plan-Respiratory
229087,Critically ill,chartevents,MD Progress Note,,Text,,,Critically ill
225005,Incision Closure #3,chartevents,Skin - Incisions,,Text,,,Incision Closure #3
229015,Incision #7- Location,chartevents,Skin - Incisions,,Text,,,Incision #7- Location
225024,Incision Dressing #3,chartevents,Skin - Incisions,,Text,,,Incision Dressing #3
228567,Incision #3- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #3- Cleanse
229028,Incision #7- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #7- Treatment
228495,Skin Location,chartevents,Skin - Incisions,,Text,,,Skin Location
229045,Incision Drainage #7,chartevents,Skin - Incisions,,Text,,,Incision Drainage #7
225043,Incision Packing #2,chartevents,Skin - Incisions,,Text,,,Incision Packing #2
227472,Incision Site #1,chartevents,Skin - Incisions,,Text,,,Incision Site #1
225022,Incision Drainage Amount #6,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #6
228572,Incision #2- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #2- Treatment
228576,Incision #6- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #6- Treatment
229044,Incision Closure #10,chartevents,Skin - Incisions,,Text,,,Incision Closure #10
225025,Incision Dressing #4,chartevents,Skin - Incisions,,Text,,,Incision Dressing #4
225045,Incision Packing #4,chartevents,Skin - Incisions,,Text,,,Incision Packing #4
225017,Incision Drainage #6,chartevents,Skin - Incisions,,Text,,,Incision Drainage #6
228599,Incision #6- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #6- Dressing Status
229050,Incision Drainage Amount #8,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #8
225031,Dressing Status #5,chartevents,Skin - Incisions,,Text,,,Dressing Status #5
229021,Incision #9- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #9- Cleanse
229048,Incision Drainage #10,chartevents,Skin - Incisions,,Text,,,Incision Drainage #10
229051,Incision Drainage Amount #9,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #9
224041,Incision Drainage #1,chartevents,Skin - Incisions,,Text,,,Incision Drainage #1
229041,Incision Closure #7,chartevents,Skin - Incisions,,Text,,,Incision Closure #7
225044,Incision Packing #3,chartevents,Skin - Incisions,,Text,,,Incision Packing #3
225006,Incision Closure #4,chartevents,Skin - Incisions,,Text,,,Incision Closure #4
225007,Incision Closure #5,chartevents,Skin - Incisions,,Text,,,Incision Closure #5
229037,Incision #7- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #7- Dressing Status
224043,Incision Cleansing #1,chartevents,Skin - Incisions,,Text,,,Incision Cleansing #1
225004,Incision Closure #2,chartevents,Skin - Incisions,,Text,,,Incision Closure #2
224044,Incision Packing #1,chartevents,Skin - Incisions,,Text,,,Incision Packing #1
225000,Incision Cleansing #4,chartevents,Skin - Incisions,,Text,,,Incision Cleansing #4
225021,Incision Drainage Amount #5,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #5
224995,Incision Appearance #4,chartevents,Skin - Incisions,,Text,,,Incision Appearance #4
228598,Incision #5- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #5- Dressing Status
225047,Incision Packing #6,chartevents,Skin - Incisions,,Text,,,Incision Packing #6
228562,Incision #4- Location,chartevents,Skin - Incisions,,Text,,,Incision #4- Location
225014,Incision Drainage #3,chartevents,Skin - Incisions,,Text,,,Incision Drainage #3
228564,Incision #6- Location,chartevents,Skin - Incisions,,Text,,,Incision #6- Location
228565,Incision #1- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #1- Cleanse
229017,Incision #9- Location,chartevents,Skin - Incisions,,Text,,,Incision #9- Location
229030,Incision #9- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #9- Treatment
225030,Dressing Status #4,chartevents,Skin - Incisions,,Text,,,Dressing Status #4
224848,Incision Appearance #1,chartevents,Skin - Incisions,,Text,,,Incision Appearance #1
224997,Incision Appearance #6,chartevents,Skin - Incisions,,Text,,,Incision Appearance #6
228594,Incision #1- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #1- Dressing Status
229029,Incision #8- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #8- Treatment
229034,Incision Appearance #8,chartevents,Skin - Incisions,,Text,,,Incision Appearance #8
224998,Incision Cleansing #2,chartevents,Skin - Incisions,,Text,,,Incision Cleansing #2
224993,Incision Appearance #2,chartevents,Skin - Incisions,,Text,,,Incision Appearance #2
228574,Incision #4- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #4- Treatment
229036,Incision Appearance #10,chartevents,Skin - Incisions,,Text,,,Incision Appearance #10
229039,Incision #9- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #9- Dressing Status
229046,Incision Drainage #8,chartevents,Skin - Incisions,,Text,,,Incision Drainage #8
228563,Incision #5- Location,chartevents,Skin - Incisions,,Text,,,Incision #5- Location
225013,Incision Drainage #2,chartevents,Skin - Incisions,,Text,,,Incision Drainage #2
225029,Dressing Status #3,chartevents,Skin - Incisions,,Text,,,Dressing Status #3
225026,Incision Dressing #5,chartevents,Skin - Incisions,,Text,,,Incision Dressing #5
228568,Incision #4- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #4- Cleanse
228573,Incision #3- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #3- Treatment
229033,Incision Appearance #7,chartevents,Skin - Incisions,,Text,,,Incision Appearance #7
224862,Edema Amount,chartevents,Skin - Incisions,,Text,,,Edema Amount
229040,Incision #10- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #10- Dressing Status
227475,Incision Site #4,chartevents,Skin - Incisions,,Text,,,Incision Site #4
228559,Incision #1- Location,chartevents,Skin - Incisions,,Text,,,Incision #1- Location
228560,Incision #2- Location,chartevents,Skin - Incisions,,Text,,,Incision #2- Location
228597,Incision #4- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #4- Dressing Status
229016,Incision #8- Location,chartevents,Skin - Incisions,,Text,,,Incision #8- Location
224851,Dressing Status #1,chartevents,Skin - Incisions,,Text,,,Dressing Status #1
229049,Incision Drainage Amount #7,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #7
228517,Skin Cleanse,chartevents,Skin - Incisions,,Text,,,Skin Cleanse
228596,Incision #3- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #3- Dressing Status
224042,Incision Dressing #1,chartevents,Skin - Incisions,,Text,,,Incision Dressing #1
225032,Dressing Status #6,chartevents,Skin - Incisions,,Text,,,Dressing Status #6
229038,Incision #8- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #8- Dressing Status
225003,Incision Closure #6,chartevents,Skin - Incisions,,Text,,,Incision Closure #6
228528,Skin Treatment,chartevents,Skin - Incisions,,Text,,,Skin Treatment
224040,Incision Closure #1,chartevents,Skin - Incisions,,Text,,,Incision Closure #1
228575,Incision #5- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #5- Treatment
228595,Incision #2- Dressing Status,chartevents,Skin - Incisions,,Text,,,Incision #2- Dressing Status
224994,Incision Appearance #3,chartevents,Skin - Incisions,,Text,,,Incision Appearance #3
225019,Incision Drainage Amount #3,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #3
229022,Incision #10- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #10- Cleanse
229031,Incision #10- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #10- Treatment
225020,Incision Drainage Amount #4,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #4
228571,Incision #1- Treatment,chartevents,Skin - Incisions,,Text,,,Incision #1- Treatment
225028,Dressing Status #2,chartevents,Skin - Incisions,,Text,,,Dressing Status #2
228570,Incision #6- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #6- Cleanse
229019,Incision #7- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #7- Cleanse
229035,Incision Appearance #9,chartevents,Skin - Incisions,,Text,,,Incision Appearance #9
227473,Incision Site #2,chartevents,Skin - Incisions,,Text,,,Incision Site #2
229042,Incision Closure #8,chartevents,Skin - Incisions,,Text,,,Incision Closure #8
229052,Incision Drainage Amount #10,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #10
225018,Incision Drainage Amount #2,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #2
228561,Incision #3- Location,chartevents,Skin - Incisions,,Text,,,Incision #3- Location
227477,Incision Site #6,chartevents,Skin - Incisions,,Text,,,Incision Site #6
228566,Incision #2- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #2- Cleanse
224031,Edema Location,chartevents,Skin - Incisions,,Text,,,Edema Location
225015,Incision Drainage #4,chartevents,Skin - Incisions,,Text,,,Incision Drainage #4
225046,Incision Packing #5,chartevents,Skin - Incisions,,Text,,,Incision Packing #5
224999,Incision Cleansing #3,chartevents,Skin - Incisions,,Text,,,Incision Cleansing #3
224996,Incision Appearance #5,chartevents,Skin - Incisions,,Text,,,Incision Appearance #5
228569,Incision #5- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #5- Cleanse
229020,Incision #8- Cleanse,chartevents,Skin - Incisions,,Text,,,Incision #8- Cleanse
225001,Incision Cleansing #5,chartevents,Skin - Incisions,,Text,,,Incision Cleansing #5
224850,Incision Drainage Amount #1,chartevents,Skin - Incisions,,Text,,,Incision Drainage Amount #1
229043,Incision Closure #9,chartevents,Skin - Incisions,,Text,,,Incision Closure #9
227474,Incision Site #3,chartevents,Skin - Incisions,,Text,,,Incision Site #3
225002,Incision Cleansing #6,chartevents,Skin - Incisions,,Text,,,Incision Cleansing #6
229047,Incision Drainage #9,chartevents,Skin - Incisions,,Text,,,Incision Drainage #9
225016,Incision Drainage #5,chartevents,Skin - Incisions,,Text,,,Incision Drainage #5
225023,Incision Dressing #2,chartevents,Skin - Incisions,,Text,,,Incision Dressing #2
229018,Incision #10- Location,chartevents,Skin - Incisions,,Text,,,Incision #10- Location
225027,Incision Dressing #6,chartevents,Skin - Incisions,,Text,,,Incision Dressing #6
227476,Incision Site #5,chartevents,Skin - Incisions,,Text,,,Incision Site #5
228456,Location (Gen Proc),chartevents,Generic Proc Note,,Text,,,Location (Gen Proc)
228466,Patient Identified Correctly (Gen Proc),chartevents,Generic Proc Note,,Text,,,Patient Identified Correctly (Gen Proc)
228465,Timeout Performed By (Gen Proc),chartevents,Generic Proc Note,,Text,,,Timeout Performed By (Gen Proc)
228467,Verification (Gen Proc),chartevents,Generic Proc Note,,Text,,,Verification (Gen Proc)
228460,Indication (Gen Proc),chartevents,Generic Proc Note,,Text,,,Indication (Gen Proc)
228474,Patient Position (Gen Proc),chartevents,Generic Proc Note,,Text,,,Patient Position (Gen Proc)
228473,Conscious Sedation (Gen Proc),chartevents,Generic Proc Note,,Text,,,Conscious Sedation (Gen Proc)
229192,Specrecbyhand (Gen Proc),chartevents,Generic Proc Note,,Text,,,Specrecbyhand (Gen Proc)
229193,Specreclabeled (Gen Proc),chartevents,Generic Proc Note,,Text,,,Specreclabeled (Gen Proc)
228468,Hand Cleansing (Gen Proc),chartevents,Generic Proc Note,,Text,,,Hand Cleansing (Gen Proc)
228462,Patient (Gen Proc),chartevents,Generic Proc Note,,Text,,,Patient (Gen Proc)
228483,Follow Up Xray (Gen Proc),chartevents,Generic Proc Note,,Text,,,Follow Up Xray (Gen Proc)
228485,Complications (Gen Proc),chartevents,Generic Proc Note,,Text,,,Complications (Gen Proc)
228475,Side (Gen Proc),chartevents,Generic Proc Note,,Text,,,Side (Gen Proc)
228471,Barrier Precautions (Gen Proc),chartevents,Generic Proc Note,,Text,,,Barrier Precautions (Gen Proc)
229196,Specrectolabby (Gen Proc),chartevents,Generic Proc Note,,Text,,,Specrectolabby (Gen Proc)
228463,Acuity (Gen Proc),chartevents,Generic Proc Note,,Text,,,Acuity (Gen Proc)
228476,With Ultrasound (Gen Proc),chartevents,Generic Proc Note,,Text,,,With Ultrasound (Gen Proc)
229194,SpecrecPOE (Gen Proc),chartevents,Generic Proc Note,,Text,,,SpecrecPOE (Gen Proc)
228469,Site Cleansed With ChloraPrep (Gen Proc),chartevents,Generic Proc Note,,Text,,,Site Cleansed With ChloraPrep (Gen Proc)
228482,Dressing Applied (Gen Proc),chartevents,Generic Proc Note,,Text,,,Dressing Applied (Gen Proc)
229197,Specrectolabbyother (Gen Proc)old,chartevents,Generic Proc Note,,Text,,,Specrectolabbyother (Gen Proc)old
229722,Ultrasound Images interpreted (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound Images interpreted (PACath)
225615,Location (PA line),chartevents,PA Line Insertion,,Text,,,Location (PA line)
229720,Ultrasound (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound (PACath)
229723,Ultrasound Images printed (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound Images printed (PACath)
225623,Number of attempts require to place line (PA line),chartevents,PA Line Insertion,,Text,,,Number of attempts require to place line (PA line)
225629,Guidewire (PA Line),chartevents,PA Line Insertion,,Text,,,Guidewire (PA Line)
228115,Site cleansed with ChloraPrep(TM) (PA line),chartevents,PA Line Insertion,,Text,,,Site cleansed with ChloraPrep(TM) (PA line)
228122,Follow-up X-RAYordered (PA Line),chartevents,PA Line Insertion,,Text,,,Follow-up X-RAYordered (PA Line)
229727,Ultrasound Images used for preproc assess (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound Images used for preproc assess (PACath)
224478,Type of catheter (PA line),chartevents,PA Line Insertion,,Text,,,Type of catheter (PA line)
228117,Thermodilution (PA line),chartevents,PA Line Insertion,,Text,,,Thermodilution (PA line)
228118,Fick (PA line),chartevents,PA Line Insertion,,Text,,,Fick (PA line)
228121,PA line ordered on POE,chartevents,PA Line Insertion,,Text,,,PA line ordered on POE
229719,Manometry Method (PACath),chartevents,PA Line Insertion,,Text,,,Method (PACath)
225631,Side (PA line),chartevents,PA Line Insertion,,Text,,,Side (PA line)
229718,Manometry (PACath),chartevents,PA Line Insertion,,Text,,,Manometry Performed (PACath)
224618,Patient identified correctly (PA line),chartevents,PA Line Insertion,,Text,,,Patient identified correctly (PA line)
228113,Insertion kit used (PA line),chartevents,PA Line Insertion,,Text,,,Insertion kit used (PA line)
224476,Insertion site (PA line),chartevents,PA Line Insertion,,Text,,,Insertion site (PA line)
224472,Indications (PA line),chartevents,PA Line Insertion,,Text,,,Indications (PA line)
224479,Complications (PA line),chartevents,PA Line Insertion,,Text,,,Complications (PA line)
226007,Number of operators (PA line),chartevents,PA Line Insertion,,Text,,,Number of operators (PA line)
229726,Ultrasound Images uploaded (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound Images uploaded (PACath)
224469,Medications / anesthetic (PA line),chartevents,PA Line Insertion,,Text,,,Medications / anesthetic (PA line)
224617,Timeout performed by (PA line),chartevents,PA Line Insertion,,Text,,,Timeout performed by (PA line)
228114,Hand cleansing prior to procedure (PA Line),chartevents,PA Line Insertion,,Text,,,Hand cleansing prior to procedure (PA Line)
228116,Sterile field maintained throughout procedure (PA line),chartevents,PA Line Insertion,,Text,,,Sterile field throughout procedure (PALine)
229725,Ultrasound Images stored (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound Images stored (PACath)
225630,Ultrasound (PA line),chartevents,PA Line Insertion,,Text,,,Ultrasound (PA line)
225633,Acuity (PA line),chartevents,PA Line Insertion,,Text,,,Acuity (PA line)
228120,Transparent dressing applied and dated (PA line),chartevents,PA Line Insertion,,Text,,,Transparent dressing  (PA line)
224624,Barrier precautions in place (PA line),chartevents,PA Line Insertion,,Text,,,Barrier precautions in place (PA line)
224619,Verification of (PA line),chartevents,PA Line Insertion,,Text,,,Verification of (PA line)
229724,Ultrasound Images probe covered (PACath),chartevents,PA Line Insertion,,Text,,,Ultrasound Images probe covered (PACath)
229869,Pressure Injury Prevention Interventions,chartevents,Skin - Assessment,,Text,,,Pressure Injury Prevention Interventions
224860,Skin Condition,chartevents,Skin - Assessment,,Text,,,Skin Condition
229866,Checklist,chartevents,Skin - Assessment,,Text,,,Checklist
224059,Braden Friction/Shear,chartevents,Skin - Assessment,,Text,,,Braden Friction/Shear
224054,Braden Sensory Perception,chartevents,Skin - Assessment,,Text,,,Braden Sensory Perception
224056,Braden Activity,chartevents,Skin - Assessment,,Text,,,Braden Activity
224058,Braden Nutrition,chartevents,Skin - Assessment,,Text,,,Braden Nutrition
224057,Braden Mobility,chartevents,Skin - Assessment,,Text,,,Braden Mobility
224055,Braden Moisture,chartevents,Skin - Assessment,,Text,,,Braden Moisture
224026,Skin Integrity,chartevents,Skin - Assessment,,Text,,,Skin Integrity
229864,Pressure Injury Location,chartevents,Skin - Assessment,,Text,,,Pressure Injury Location
229868,Risk Factors for Pressure Injury,chartevents,Skin - Assessment,,Text,,,Risk Factors for Pressure Injury
224027,Skin Temperature,chartevents,Skin - Assessment,,Text,,,Skin Temp
224028,Skin Color,chartevents,Skin - Assessment,,Text,,,Skin Color
227620,Surrounding Tissue #9,chartevents,Skin - Impairment,,Text,,,Surrounding Tissue #9
228526,Impaired Skin #9- Cleanse,chartevents,Skin - Impairment,,Text,,,Impaired Skin #9- Cleanse
228533,Impaired Skin #5- Treatment,chartevents,Skin - Impairment,,Text,,,Impaired Skin #5- Treatment
224037,Impaired Skin Cleanse #1,chartevents,Skin - Impairment,,Text,,,Site Cleanse #1
224991,Undermining Present #7,chartevents,Skin - Impairment,,Text,,,Undermining Present #7
224959,Impaired Skin Wound Base #3,chartevents,Skin - Impairment,,Text,,,Site/Wound Base #3
228543,Pressure Ulcer #5- Treatment,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer #5- Treatment
228607,Impaired Skin #8- Dressing Status,chartevents,Skin - Impairment,,Text,,,Impaired Skin #8- Dressing Status
224894,Impaired Skin Cleanse #8,chartevents,Skin - Impairment,,Text,,,Site Cleanse #8
227785,Impaired Skin  - Dressing Status #6,chartevents,Skin - Impairment,,Text,,,Impaired Skin  - Dressing Status #6
224961,Impaired Skin Wound Base #5,chartevents,Skin - Impairment,,Text,,,Site/Wound Base #5
228535,Impaired Skin #7- Treatment,chartevents,Skin - Impairment,,Text,,,Impaired Skin #7- Treatment
228548,Pressure Ulcer #10- Treatment,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer #10- Treatment
228601,Impaired Skin #2- Dressing Status,chartevents,Skin - Impairment,,Text,,,Impaired Skin #2- Dressing Status
228840,Pressure ulcer #8- Tunneling present,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #8- Tunneling present
228520,Impaired Skin #3- Cleanse,chartevents,Skin - Impairment,,Text,,,Impaired Skin #3- Cleanse
228529,Impaired Skin #1- Treatment,chartevents,Skin - Impairment,,Text,,,Impaired Skin #1- Treatment
228532,Impaired Skin #4- Treatment,chartevents,Skin - Impairment,,Text,,,Impaired Skin #4- Treatment
228784,Pressure ulcer #2- Cleanse,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #2- Cleanse
224930,Impaired Skin Site #2,chartevents,Skin - Impairment,,Text,,,Site #2
224950,Impaired Skin Type #8,chartevents,Skin - Impairment,,Text,,,Type #8
224226,Impaired Skin Wound Base #1,chartevents,Skin - Impairment,,Text,,,Site/Wound Base #1
224565,Surrounding Tissue #1,chartevents,Skin - Impairment,,Text,,,Surrounding Tissue #1
227600,Impaired Skin Drainage Amount #9,chartevents,Skin - Impairment,,Text,,,Site Drainage Amount #9
228501,Impaired Skin #6- Location,chartevents,Skin - Impairment,,Text,,,Impaired Skin #6- Location
228530,Impaired Skin #2- Treatment,chartevents,Skin - Impairment,,Text,,,Impaired Skin #2- Treatment
228745,Pressure ulcer #3- Surrounding tissue,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #3- Surrounding tissue
228857,Impaired Skin #5- Type,chartevents,Skin - Impairment,,Text,,,Impaired Skin #5- Type
227613,Impaired Skin Type #10,chartevents,Skin - Impairment,,Text,,,Type #10
228506,Pressure Ulcer #1- Location,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer #1- Location
228834,Pressure ulcer #2- Tunneling present,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #2- Tunneling present
224032,Impaired Skin Site #1,chartevents,Skin - Impairment,,Text,,,Site #1
224969,Pressure Ulcer Stage #6,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer Stage #6
224992,Undermining Present #8,chartevents,Skin - Impairment,,Text,,,Undermining Present #8
224978,Surrounding Tissue #8,chartevents,Skin - Impairment,,Text,,,Surrounding Tissue #8
227599,Impaired Skin Drainage #10,chartevents,Skin - Impairment,,Text,,,Site Drainage #10
228838,Pressure ulcer #6- Tunneling present,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #6- Tunneling present
228839,Pressure ulcer #7- Tunneling present,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #7- Tunneling present
228848,Pressure ulcer #6- Undermining present,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #6- Undermining present
224906,Impaired Skin Drainage #6,chartevents,Skin - Impairment,,Text,,,Site Drainage #6
224974,Surrounding Tissue #4,chartevents,Skin - Impairment,,Text,,,Surrounding Tissue #4
228521,Impaired Skin #4- Cleanse,chartevents,Skin - Impairment,,Text,,,Impaired Skin #4- Cleanse
228605,Impaired Skin #6- Dressing Status,chartevents,Skin - Impairment,,Text,,,Impaired Skin #6- Dressing Status
228735,Pressure ulcer #3- Wound Base,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #3- Wound Base
228737,Pressure ulcer #5- Wound Base,chartevents,Skin - Impairment,,Text,,,Pressure ulcer #5- Wound Base
224986,Undermining Present #2,chartevents,Skin - Impairment,,Text,,,Undermining Present #2
228507,Pressure Ulcer #2- Location,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer #2- Location
228538,Impaired Skin #10- Treatment,chartevents,Skin - Impairment,,Text,,,Impaired Skin #10- Treatment
228544,Pressure Ulcer #6- Treatment,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer #6- Treatment
228545,Pressure Ulcer #7- Treatment,chartevents,Skin - Impairment,,Text,,,Pressure Ulcer #7- Treatment
