itemid,label,fluid,category
51456,Promyelocytes,Pleural,Hematology
51457,"RBC, Pleural",Pleural,Hematology
51459,Young Cells,Pleural,Hematology
51460,"Blood, Occult",Stool,Hematology
51461,Ammonium Biurate,Urine,Hematology
51462,Amorphous Crystals,Urine,Hematology
51463,Bacteria,Urine,Hematology
51464,Bilirubin,Urine,Hematology
51465,Bilirubin Crystals,Urine,Hematology
51466,Blood,Urine,Hematology
51467,Broad Casts,Urine,Hematology
51468,Calcium Carbonate Crystals,Urine,Hematology
51469,Calcium Oxalate Crystals,Urine,Hematology
51470,Calcium Phosphate Crystals,Urine,Hematology
51471,Cellular Cast,Urine,Hematology
51472,Cholesterol Crystals,Urine,Hematology
51473,Cysteine Crystals,Urine,Hematology
51474,Eosinophils,Urine,Hematology
51475,Epithelial Casts,Urine,Hematology
51476,Epithelial Cells,Urine,Hematology
51477,Free Fat,Urine,Hematology
51478,Glucose,Urine,Hematology
51479,Granular Casts,Urine,Hematology
51480,Hematocrit,Urine,Hematology
51481,Hemosiderin,Urine,Hematology
51482,Hyaline Casts,Urine,Hematology
51483,Hyphenated Yeast,Urine,Hematology
51484,Ketone,Urine,Hematology
51485,Leucine Crystals,Urine,Hematology
51486,Leukocytes,Urine,Hematology
51487,Nitrite,Urine,Hematology
51488,Non-squamous Epithelial Cells,Urine,Hematology
51489,NonSquamous Epithelial Cell,Urine,Hematology
51490,Oval Fat Body,Urine,Hematology
51491,pH,Urine,Hematology
51492,Protein,Urine,Hematology
51493,RBC,Urine,Hematology
51494,RBC Casts,Urine,Hematology
51495,RBC Clumps,Urine,Hematology
51496,"Reducing Substances, Urine",Urine,Hematology
51497,Renal Epithelial Cells,Urine,Hematology
51498,Specific Gravity,Urine,Hematology
51499,Sperm,Urine,Hematology
51500,Sulfonamides,Urine,Hematology
51501,Transitional Epithelial Cells,Urine,Hematology
51502,Trichomonas,Urine,Hematology
51503,Triple Phosphate Crystals,Urine,Hematology
51504,Tyrosine Crystals,Urine,Hematology
51505,Uric Acid Crystals,Urine,Hematology
51506,Urine Appearance,Urine,Hematology
51507,"Urine Casts, Other",Urine,Hematology
51508,Urine Color,Urine,Hematology
51509,Urine Comments,Urine,Hematology
51510,"Urine Crystals, Other",Urine,Hematology
51511,Urine Fat Bodies,Urine,Hematology
51512,Urine Mucous,Urine,Hematology
51513,Urine Specimen Type,Urine,Hematology
51514,Urobilinogen,Urine,Hematology
51515,Waxy Casts,Urine,Hematology
51516,WBC,Urine,Hematology
51517,WBC Casts,Urine,Hematology
51518,WBC Clumps,Urine,Hematology
51519,Yeast,Urine,Hematology
51556,Anti-Microsomal Antibodies,Blood,Chemistry
51557,Anti-Microsomal Antibody,Blood,Chemistry
51558,Antirnp,Blood,Chemistry
51559,Anti-ro,Blood,Chemistry
51560,Anti-SARS-CoV-2 IgA,Blood,Chemistry
51562,Anti-Skin Antibody,Blood,Chemistry
51563,Anti-sm,Blood,Chemistry
51564,ARCH-1,Blood,Chemistry
51565,Argon,Blood,Chemistry
51566,Beta,Blood,Chemistry
51567,Beta Hydroxybutyrate,Blood,Chemistry
51568,"Bilirubin, Neonatal",Blood,Chemistry
51569,"Bilirubin, Neonatal, Direct",Blood,Chemistry
51570,"Bilirubin, Neonatal, Indirect",Blood,Chemistry
51571,Billed,Blood,Chemistry
51572,Bioavailable Testosterone,Blood,Chemistry
51573,Bromide,Blood,Chemistry
51574,C1 Inhibitor,Blood,Chemistry
51575,C1q,Blood,Chemistry
51576,C2,Blood,Chemistry
51577,C5,Blood,Chemistry
51578,C6,Blood,Chemistry
51579,CA 19-9,Blood,Chemistry
51580,Calculated CK-MB,Blood,Chemistry
51581,Carotene,Blood,Chemistry
51582,CH50,Blood,Chemistry
51583,Chol Estr,Blood,Chemistry
51584,Chylomicrons,Blood,Chemistry
51585,Clostrid,Blood,Chemistry
51586,CMV IgG Ab,Blood,Chemistry
51587,CMV IgG Ab Value,Blood,Chemistry
51588,CMV IgM Ab,Blood,Chemistry
51589,CMV IgM Ab Value,Blood,Chemistry
51590,CMV Interpretation,Blood,Chemistry
51591,Confirmation,Blood,Chemistry
51592,Conj Bili,Blood,Chemistry
51593,Copper,Blood,Chemistry
51594,"Creatine Kinase, Isoenzyme BB",Blood,Chemistry
51595,"Creatine Kinase, Isoenzyme MB",Blood,Chemistry
51596,"Creatine Kinase, Isoenzyme MM",Blood,Chemistry
51597,Cvhlc,Blood,Chemistry
51598,Cytomegalovirus Viral Load,Blood,Chemistry
51599,D,Blood,Chemistry
51600,Delete,Blood,Chemistry
51601,Delete,Blood,Chemistry
51602,Delete,Blood,Chemistry
51603,Delete,Blood,Chemistry
51604,Delete,Blood,Chemistry
51605,Delta/Dlt,Blood,Chemistry
51606,Digitoxin,Blood,Chemistry
51607,"Dimeric Inhibin A, Maternal Screen",Blood,Chemistry
51608,DirLst,Blood,Chemistry
51609,Disopyramide,Blood,Chemistry
51610,Dlta Bili,Blood,Chemistry
51611,Down Syndrome Risk,Blood,Chemistry
51612,Dr. X,Blood,Chemistry
51613,eAG,Blood,Chemistry
51614,Epstein-Barr Virus  EBNA IgG Ab,Blood,Chemistry
51615,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry
51616,Epstein-Barr Virus IgG Ab Value,Blood,Chemistry
51617,Epstein-Barr Virus IgM Ab Value,Blood,Chemistry
51618,Epstein-Barr Virus Interpretation,Blood,Chemistry
51619,Epstein-Barr Virus VCA IgG Ab,Blood,Chemistry
51620,Epstein-Barr Virus VCA IgM Ab,Blood,Chemistry
51621,Ethylene Glycol,Blood,Chemistry
51623,Fibrinogen,Blood,Chemistry
51624,Free Calcium,Blood,Chemistry
51625,Free Kappa,Blood,Chemistry
51626,Free Kappa/Free Lambda Ratio,Blood,Chemistry
51627,Free Lambda,Blood,Chemistry
51628,Fructosamine,Blood,Chemistry
51629,Fructosamine Plus,Blood,Chemistry
51630,Gamma,Blood,Chemistry
51631,Glycated Hemoglobin,Blood,Chemistry
51632,Growth Hormone,Blood,Chemistry
51633,Hbeag,Blood,Chemistry
51634,Hbsag,Blood,Chemistry
51635,Hbsag,Blood,Chemistry
51636,"HCG, Multiples of Median",Blood,Chemistry
51637,"HCG, Qualitative",Blood,Chemistry
51638,Hematocrit,Blood,Chemistry
51639,Hematocrit,Blood,Chemistry
51640,Hemoglobin,Blood,Chemistry
51641,Hemoglobin  A,Blood,Chemistry
51642,Hemoglobin  A1,Blood,Chemistry
51643,Hemoglobin  A2,Blood,Chemistry
51644,Hemoglobin  C,Blood,Chemistry
51645,"Hemoglobin, Calculated",Blood,Chemistry
51646,Hemoglobin  F,Blood,Chemistry
51647,Hemoglobin  S,Blood,Chemistry
51648,Hepatitis B Viral Load,Blood,Chemistry
51649,Hepatitis B Virus E Antibody,Blood,Chemistry
51650,Hepatitis B Virus E Antigen,Blood,Chemistry
51651,Hepatitis C Viral Load,Blood,Chemistry
51652,High-Sensitivity CRP,Blood,Chemistry
51653,HIV 1 Ab Confirmation,Blood,Chemistry
51654,HIV 1 Viral Load,Blood,Chemistry
51655,HIV 2 Ab Confirmation,Blood,Chemistry
51656,Hlap,Blood,Chemistry
51657,HPE1,Blood,Chemistry
51658,HPE2,Blood,Chemistry
51659,HPE3,Blood,Chemistry
51660,HPE4,Blood,Chemistry
51661,HPE5,Blood,Chemistry
51662,HPE6,Blood,Chemistry
51663,HPE7,Blood,Chemistry
51664,HPE8,Blood,Chemistry
51665,HPE9,Blood,Chemistry
51666,H. pylori IgG Ab,Blood,Chemistry
51667,H. pylori IgG Ab Value,Blood,Chemistry
51668,Hsap,Blood,Chemistry
51669,Htlv Ab,Blood,Chemistry
51670,Icd9,Blood,Chemistry
51671,IFEgel,Blood,Chemistry
51672,Immune Complexes,Blood,Chemistry
51673,Immunoelectrophoresis,Blood,Chemistry
51674,Immunoglobulin E,Blood,Chemistry
51675,INR(PT),Blood,Chemistry
51676,Insulin,Blood,Chemistry
51677,K (GREEN),Blood,Chemistry
51678,L,Blood,Chemistry
51679,Lap,Blood,Chemistry
51680,"LD, Isoenzyme 1",Blood,Chemistry
51681,"LD, Isoenzyme 2",Blood,Chemistry
51682,"LD, Isoenzyme 3",Blood,Chemistry
51683,"LD, Isoenzyme 4",Blood,Chemistry
51684,"LD, Isoenzyme 5",Blood,Chemistry
51685,Lidocaine,Blood,Chemistry
51686,Lip2,Blood,Chemistry
51687,Lipo Electrophoresis,Blood,Chemistry
51688,Lyme C6 Ab,Blood,Chemistry
51689,Lyme G and M Value,Blood,Chemistry
51690,Lymphocytes,Blood,Chemistry
51691,MCV,Blood,Chemistry
51692,"Monospot, Rapid Antigen",Blood,Chemistry
51693,Mumps IgG Ab,Blood,Chemistry
51694,Mumps IgG Ab Value,Blood,Chemistry
51695,Myoglobin,Blood,Chemistry
51696,Neural Tube Defect Risk,Blood,Chemistry
51697,Neutrophils,Blood,Chemistry
51698,No MD,Blood,Chemistry
51699,Not Done,Blood,Chemistry
51700,Np-fx,Blood,Chemistry
51701,"Osmolality, Calculated",Blood,Chemistry
51702,Park,Blood,Chemistry
51703,PEPgel,Blood,Chemistry
51704,Platelet Count,Blood,Chemistry
51705,Primidone,Blood,Chemistry
51706,Problem Specimen,Blood,Chemistry
51707,Progesterone,Blood,Chemistry
51708,Qnthbsab,Blood,Chemistry
51709,Quantitative RPR Test,Blood,Chemistry
51710,Rapid Plasma Reagin Test,Blood,Chemistry
51712,Referred,Blood,Chemistry
51713,Reflex Confirmatory Hepatitis C Viral Load,Blood,Chemistry
51714,Reflex HIV Confirmation,Blood,Chemistry
51715,Renin,Blood,Chemistry
51717,Reserved,Blood,Chemistry
51718,Reserved1,Blood,Chemistry
51719,Reserved3,Blood,Chemistry
51720,Reserved4,Blood,Chemistry
51721,Reverse T3,Blood,Chemistry
51722,RFXLDLM,Blood,Chemistry
51723,Rubella,Blood,Chemistry
51724,Rubella IgG Ab,Blood,Chemistry
51725,Rubeola IgG Ab,Blood,Chemistry
51726,Rubeola IgG Ab Value,Blood,Chemistry
51727,Send Out,Blood,Chemistry
51728,Serum B12,Blood,Chemistry
51729,Serum B12,Blood,Chemistry
51730,Serum Folate,Blood,Chemistry
51731,Single Stranded DNA,Blood,Chemistry
51732,STX1,Blood,Chemistry
51733,STX2,Blood,Chemistry
51734,STX3,Blood,Chemistry
51735,STX4,Blood,Chemistry
51736,STX5,Blood,Chemistry
51737,STX6,Blood,Chemistry
51738,Thyroid Binding Globulin,Blood,Chemistry
51739,Total CO2,Blood,Chemistry
51740,Toxic Screen,Blood,Chemistry
51741,Toxoplasma IgG Ab,Blood,Chemistry
51742,Toxoplasma IgG Ab Value,Blood,Chemistry
51743,Toxoplasma IgM Ab,Blood,Chemistry
51744,Toxoplasma IgM Ab Value,Blood,Chemistry
51745,Toxoplasma Interpretation,Blood,Chemistry
51746,Transferrin Saturation,Blood,Chemistry
51747,Treponemal Antibody Test,Blood,Chemistry
51748,Treponema pallidum (Syphilis) Ab,Blood,Chemistry
51749,Treponema pallidum (syphilis) value,Blood,Chemistry
51750,"UE3, Multiples of Median",Blood,Chemistry
51751,Uncon Bil,Blood,Chemistry
51752,Voided Specimen,Blood,Chemistry
51753,VZV IgG Ab,Blood,Chemistry
51754,VZV IgG Ab Value,Blood,Chemistry
51755,White Blood Cells,Blood,Chemistry
51756,White Blood Cells,Blood,Chemistry
51757,Xxx,Blood,Chemistry
51758,Xylose,Blood,Chemistry
51759,Z,Blood,Chemistry
51760,Z,Blood,Chemistry
51761,Zinc,Blood,Chemistry
51762,EE1,Blood,Chemistry
51763,EE2,Blood,Chemistry
51764,EE7,Blood,Chemistry
51765,EE3,Blood,Chemistry
51767,EE5,Blood,Chemistry
51768,EE6,Blood,Chemistry
51769,RUBIgGV,Blood,Chemistry
51770,MDRDgfr,Blood,Chemistry
51771,,Blood,Chemistry
51772,PAN3,Blood,Chemistry
51773,RFXFRKL,Blood,Chemistry
51774,RFXHCV,Blood,Chemistry
51775,(Albumin),Cerebrospinal Fluid,Chemistry
51776,<Albumin>,Cerebrospinal Fluid,Chemistry
51777,"Albumin, CSF",Cerebrospinal Fluid,Chemistry
51778,Alpha-1,Cerebrospinal Fluid,Chemistry
51779,Alpha-2,Cerebrospinal Fluid,Chemistry
51780,"Amylase, CSF",Cerebrospinal Fluid,Chemistry
51781,Beta,Cerebrospinal Fluid,Chemistry
51782,"Bicarbonate, CSF",Cerebrospinal Fluid,Chemistry
51783,"Bilirubin, Total, CSF",Cerebrospinal Fluid,Chemistry
51784,"Chloride, CSF",Cerebrospinal Fluid,Chemistry
51785,"Cholesterol, CSF",Cerebrospinal Fluid,Chemistry
51786,Clostrid,Cerebrospinal Fluid,Chemistry
51787,"Creatinine, CSF",Cerebrospinal Fluid,Chemistry
51788,Cryptococ,Cerebrospinal Fluid,Chemistry
51789,Fl Scan,Cerebrospinal Fluid,Chemistry
51790,"Glucose, CSF",Cerebrospinal Fluid,Chemistry
51791,HIV 1 Viral Load,Cerebrospinal Fluid,Chemistry
51792,"Immunoelectrophoresis, CSF",Cerebrospinal Fluid,Chemistry
51793,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry
51794,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry
51795,"Lactate Dehydrogenase, CSF",Cerebrospinal Fluid,Chemistry
51796,"Miscellaneous, CSF",Cerebrospinal Fluid,Chemistry
51797,"Osmolality, CSF",Cerebrospinal Fluid,Chemistry
51798,"PEP, CSF",Cerebrospinal Fluid,Chemistry
51799,"PEP, CSF, Gamma Region",Cerebrospinal Fluid,Chemistry
51800,"Potassium, CSF",Cerebrospinal Fluid,Chemistry
51801,"Sodium, CSF",Cerebrospinal Fluid,Chemistry
51802,"Total Protein, CSF",Cerebrospinal Fluid,Chemistry
51803,"Triglycerides, CSF",Cerebrospinal Fluid,Chemistry
51804,"Urea Nitrogen, CSF",Cerebrospinal Fluid,Chemistry
51805,"Uric Acid, CSF",Cerebrospinal Fluid,Chemistry
51806,Voided Specimen,Cerebrospinal Fluid,Chemistry
51807,(Albumin),Joint Fluid,Chemistry
51808,Alpha-1,Joint Fluid,Chemistry
51809,Alpha-2,Joint Fluid,Chemistry
51810,Beta,Joint Fluid,Chemistry
51811,"Bicarbonate,Joint Fluid",Joint Fluid,Chemistry
51812,"Bilirubin, Total, Joint Fluid",Joint Fluid,Chemistry
51813,"Chloride, Joint Fluid",Joint Fluid,Chemistry
51814,"Cholesterol, Joint Fluid",Joint Fluid,Chemistry
51815,Clostrid,Joint Fluid,Chemistry
51816,Cryptococ,Joint Fluid,Chemistry
51817,Fl Scan,Joint Fluid,Chemistry
51818,"IgG, Joint Fluid",Joint Fluid,Chemistry
51819,"Immunoelectrophoresis, Joint Fluid",Joint Fluid,Chemistry
51820,"Osmolality, Joint Fluid",Joint Fluid,Chemistry
51821,"PEP, Joint Fluid, Gamma Region",Joint Fluid,Chemistry
51822,"Potassium, Joint Fluid",Joint Fluid,Chemistry
51823,"Sodium, Joint Fluid",Joint Fluid,Chemistry
51824,"Triglycerides, Joint Fluid",Joint Fluid,Chemistry
51825,"Urea Nitrogen, Joint Fluid",Joint Fluid,Chemistry
51826,"Uric Acid, Joint Fluid",Joint Fluid,Chemistry
51827,Voided Specimen,Joint Fluid,Chemistry
51828,Voided Specimen,Bone Marrow,Chemistry
51829,72 Hr Fat,Other Body Fluid,Chemistry
51830,Acid BAO,Other Body Fluid,Chemistry
51831,Acid MAO,Other Body Fluid,Chemistry
51833,"AFP, Amniotic Fluid",Other Body Fluid,Chemistry
51834,"AFP, Body Fluid",Other Body Fluid,Chemistry
51835,(Albumi,Other Body Fluid,Chemistry
51836,<Albumin>,Other Body Fluid,Chemistry
51837,Alpha-1,Other Body Fluid,Chemistry
51838,Alpha-2,Other Body Fluid,Chemistry
51839,Anat Path Hold,Other Body Fluid,Chemistry
51840,Beta,Other Body Fluid,Chemistry
51841,"Blood, Occult",Other Body Fluid,Chemistry
51842,Bun,Other Body Fluid,Chemistry
51843,C. diff PCR,Other Body Fluid,Chemistry
51844,C diff Toxin Antigen Assay,Other Body Fluid,Chemistry
51846,Chlamydia trachomatis,Other Body Fluid,Chemistry
51847,Clostrid,Other Body Fluid,Chemistry
51854,Cryptococ,Other Body Fluid,Chemistry
51855,"DSPC, Amniotic Fluid",Other Body Fluid,Chemistry
51856,Epr,Other Body Fluid,Chemistry
51857,Fl Scan,Other Body Fluid,Chemistry
51858,HIV 1 Viral Load,Other Body Fluid,Chemistry
51861,"Immunoelectrophoresis, Fluid",Other Body Fluid,Chemistry
51862,"Immunoglobulin G, Body Fluid",Other Body Fluid,Chemistry
51864,Influenza A by PCR,Other Body Fluid,Chemistry
51865,Influenza A by PCR,Other Body Fluid,Chemistry
51869,"Influenza A, Rapid Antigen",Other Body Fluid,Chemistry
51870,"Influenza A, Rapid Antigen",Other Body Fluid,Chemistry
51872,Influenza B by PCR,Other Body Fluid,Chemistry
51873,Influenza B by PCR,Other Body Fluid,Chemistry
51874,"Influenza B, Rapid Antigen",Other Body Fluid,Chemistry
51875,"Influenza B, Rapid Antigen",Other Body Fluid,Chemistry
51876,"L/S Ratio, Amniotic Fluid",Other Body Fluid,Chemistry
51877,MRSA PCR,Other Body Fluid,Chemistry
51879,Neisseria gonorrhoeae,Other Body Fluid,Chemistry
51880,Norovirus Genogroup I,Other Body Fluid,Chemistry
51881,Norovirus Genogroup II,Other Body Fluid,Chemistry
51882,O & P,Other Body Fluid,Chemistry
51887,"PEP, Body Fluid",Other Body Fluid,Chemistry
51888,"PEP, Body Fluid, Gamma Region",Other Body Fluid,Chemistry
51889,Phosphatidylglycerol,Other Body Fluid,Chemistry
51893,Staph aureus PCR,Other Body Fluid,Chemistry
51894,"Strep A, Rapid Antigen",Other Body Fluid,Chemistry
51895,"Strep A, Rapid Antigen",Other Body Fluid,Chemistry
51896,Sudan Stain,Other Body Fluid,Chemistry
51897,Surfactant/Albumin,Other Body Fluid,Chemistry
51898,Surf/Alb,Other Body Fluid,Chemistry
51899,Trichomonas vaginalis,Other Body Fluid,Chemistry
51900,"Uric Acid, Body Fluid",Other Body Fluid,Chemistry
51901,Voided Specimen,Other Body Fluid,Chemistry
51902,Vpf,Other Body Fluid,Chemistry
51903,PAN1,Other Body Fluid,Chemistry
51904,PAN2,Other Body Fluid,Chemistry
51905, ,Other Body Fluid,Chemistry
51906,reuse,Other Body Fluid,Chemistry
51907,reuse1,Other Body Fluid,Chemistry
51910,(Albumin),Pleural,Chemistry
51911,Alpha-1,Pleural,Chemistry
51912,Alpha-2,Pleural,Chemistry
51913,Beta,Pleural,Chemistry
51914,Clostrid,Pleural,Chemistry
51915,Cryptococ,Pleural,Chemistry
51916,Fl Scan,Pleural,Chemistry
51917,"Immunoelectrophoresis, Pleural",Pleural,Chemistry
51918,"Immunoglobulin G, Pleural",Pleural,Chemistry
51919,"Osmolality, Pleural",Pleural,Chemistry
51920,"PEP, Pleural, Gamma Region",Pleural,Chemistry
51921,"proBNP, Pleural",Pleural,Chemistry
51922,"Urea Nitrogen, Pleural",Pleural,Chemistry
51923,"Uric Acid, Pleural",Pleural,Chemistry
51924,Voided Specimen,Pleural,Chemistry
51925,72 Hr Fat,Stool,Chemistry
51926,(Albumin),Stool,Chemistry
51927,"Albumin, Stool",Stool,Chemistry
51928,Alpha-1,Stool,Chemistry
51929,Alpha-2,Stool,Chemistry
51930,"Amylase, Stool",Stool,Chemistry
51931,Beta,Stool,Chemistry
51932,"Bilirubin, Total, Stool",Stool,Chemistry
51933,C. diff PCR,Stool,Chemistry
51934,C Diff Toxin Antigen Assay,Stool,Chemistry
51935,"Cholesterol, Stool",Stool,Chemistry
51936,Clostrid,Stool,Chemistry
51937,"Creatinine, Stool",Stool,Chemistry
51938,Cryptococ,Stool,Chemistry
51939,Fl Scan,Stool,Chemistry
51940,Gamma,Stool,Chemistry
51941,"Glucose, Stool",Stool,Chemistry
51942,"IgG, Stool",Stool,Chemistry
51943,"Immunoelectrophoresis, Stool",Stool,Chemistry
51944,"Lactate Dehydrogenase, Stool",Stool,Chemistry
51945,Norovirus Genogroup I,Stool,Chemistry
51946,Norovirus Genogroup II,Stool,Chemistry
51947,O & P,Stool,Chemistry
51948,Sudan Stain,Stool,Chemistry
51949,"Total Protein, Stool",Stool,Chemistry
51950,"Triglycerides, Stool",Stool,Chemistry
51951,"Urea Nitrogen, Stool",Stool,Chemistry
51952,"Uric Acid, Stool",Stool,Chemistry
51953,Voided Specimen,Stool,Chemistry
51954,CDT027,Stool,Chemistry
51955,,Stool,Chemistry
51956,CDT027,Stool,Chemistry
51957,17-Hydroxycorticosteroids,Urine,Chemistry
51958,"17-Ketosteroids, Urine",Urine,Chemistry
51959,"5-HIAA, Urine",Urine,Chemistry
51960,Aldolase,Urine,Chemistry
51961,Alpha-1,Urine,Chemistry
51962,Alpha-2,Urine,Chemistry
51963,Amylase/Creatinine Clearance,Urine,Chemistry
51964,"Amylase, Serum",Urine,Chemistry
51965,Beta,Urine,Chemistry
51966,Bilirubin,Urine,Chemistry
51967,Blood,Urine,Chemistry
51968,Camp,Urine,Chemistry
51969,"Catecholamines, Urine",Urine,Chemistry
51970,Cben,Urine,Chemistry
51971,Ccoc,Urine,Chemistry
51972,Chlamydia trachomatis,Urine,Chemistry
51973,Copi,Urine,Chemistry
51974,"Copper, Urine",Urine,Chemistry
51975,Coproporphyrins,Urine,Chemistry
51976,"Cortisol, Urine",Urine,Chemistry
51977,"Creatinine, Blood",Urine,Chemistry
51978,DirList,Urine,Chemistry
51979,"Estriol, Urine",Urine,Chemistry
51980,Fentanyl,Urine,Chemistry
51981,Glucose,Urine,Chemistry
51982,"Immunoelectrophoresis, Urine",Urine,Chemistry
51983,"Iron, Urine",Urine,Chemistry
51984,Ketone,Urine,Chemistry
51985,Leukocytes,Urine,Chemistry
51986,Neisseria gonorrhoeae,Urine,Chemistry
51987,Nitrite,Urine,Chemistry
51988,O & P,Urine,Chemistry
51989,Oxycodone,Urine,Chemistry
51990,"Phenothiazine Screen, Urine",Urine,Chemistry
51991,"Propoxyphene, Urine",Urine,Chemistry
51992,Protein,Urine,Chemistry
51993,Referred,Urine,Chemistry
51994,Specific Gravity,Urine,Chemistry
51995,Study Urine,Urine,Chemistry
51996,Trichomonas vaginalis,Urine,Chemistry
51997,UIFEgel,Urine,Chemistry
51998,UPEPgel,Urine,Chemistry
51999,Urine Amylase,Urine,Chemistry
52000,Urine  Creatinine,Urine,Chemistry
52001,"Urine PEP, Gamma region",Urine,Chemistry
52002,Urobilinogen,Urine,Chemistry
52003,Uroporphyrins,Urine,Chemistry
52004,UTX1,Urine,Chemistry
52005,UTX2,Urine,Chemistry
52006,UTX3,Urine,Chemistry
52007,UTX4,Urine,Chemistry
52008,UTX5,Urine,Chemistry
52009,UTX6,Urine,Chemistry
52010,UTX7,Urine,Chemistry
52011,UTX8,Urine,Chemistry
52012,UTX9,Urine,Chemistry
52013,Vanillylmandelic Acid,Urine,Chemistry
52014,Voided Specimen,Urine,Chemistry
52015,Xylose,Urine,Chemistry
52016,Z,Urine,Chemistry
52017,"Zinc, Urine",Urine,Chemistry
52018,PAN1,Urine,Chemistry
52019,PAN2,Urine,Chemistry
52020,UTX10,Urine,Chemistry
52021,Abz,Blood,Blood Gas
52022,"Albumin, Blood",Blood,Blood Gas
52023,Assist/Control,Blood,Blood Gas
52024,"Creatinine, Whole Blood",Blood,Blood Gas
52025,Delete,Blood,Blood Gas
52026,Estimated GFR (MDRD equation),Blood,Blood Gas
52027,"Glucose, Whole Blood",Blood,Blood Gas
52028,Hematocrit,Blood,Blood Gas
52029,% Ionized Calcium,Blood,Blood Gas
52030,Lithium,Blood,Blood Gas
52031,Osmolality,Blood,Blood Gas
52032,P50 of Hemoglobin,Blood,Blood Gas
52033,Specimen Type,Blood,Blood Gas
52034,Total Calcium,Blood,Blood Gas
52035,Total Calcium,Blood,Blood Gas
52036,Voided Specimen,Blood,Blood Gas
52037,WB tCO2,Blood,Blood Gas
52038,Base Excess,Fluid,Blood Gas
52039,Calculated Bicarbonate,Fluid,Blood Gas
52040,pCO2,Fluid,Blood Gas
52041,pH,Fluid,Blood Gas
52042,pO2,Fluid,Blood Gas
52043,Voided Specimen,Other Body Fluid,Blood Gas
52044,"Osmolality, Urine",Urine,Blood Gas
52045,"pH, Urine",Urine,Blood Gas
52046,"Potassium, Urine",Urine,Blood Gas
52047,"Sodium, Urine",Urine,Blood Gas
52048,Atyps#,Ascites,Hematology
52049,Bands#,Ascites,Hematology
52050,Basos#,Ascites,Hematology
52051,Blasts#,Ascites,Hematology
52052,Eos#,Ascites,Hematology
52053,Histio#,Ascites,Hematology
52054,Histiocyte,Ascites,Hematology
52055,Hyperseg,Ascites,Hematology
52056,Hyperseg#,Ascites,Hematology
52057,Lymphs#,Ascites,Hematology
52058,Metas#,Ascites,Hematology
52059,Monos#,Ascites,Hematology
52060,Myelos#,Ascites,Hematology
52061,Nuc Rbcs#,Ascites,Hematology
52062,Plasma#,Ascites,Hematology
52063,Polys#,Ascites,Hematology
52064,Promyelo#,Ascites,Hematology
52065,"Total Nucleated Cells, Ascites",Ascites,Hematology
52066,Voided Specimen,Ascites,Hematology
52067,Young#,Ascites,Hematology
52068,24 Hr,Blood,Hematology
52069,Absolute Basophil Count,Blood,Hematology
52070,Absolute CD19 Count,Blood,Hematology
52071,Absolute CD20 Count,Blood,Hematology
52072,Absolute CD56 Count,Blood,Hematology
52073,Absolute Eosinophil Count,Blood,Hematology
52074,Absolute Monocyte Count,Blood,Hematology
52075,Absolute Neutrophil Count,Blood,Hematology
52076,Acid Phosphatase Stain,Blood,Hematology
52077,Acidserum,Blood,Hematology
52078,Antithrombin III,Blood,Hematology
52079,ASA Tol,Blood,Hematology
52080,Asd,Blood,Hematology
52081,ASD & NA-F,Blood,Hematology
52082,Aspirin Reactivity,Blood,Hematology
52083,Autohem+g,Blood,Hematology
52084,Autohem-g,Blood,Hematology
52085,Bleed Tm,Blood,Hematology
52086,Bleed Tm,Blood,Hematology
52087,CD15/56,Blood,Hematology
52088,CD 1a,Blood,Hematology
52089,CD30,Blood,Hematology
52090,CD42,Blood,Hematology
52091,CD52,Blood,Hematology
52092,CD56 %,Blood,Hematology
52093,CD56 Absolute Count,Blood,Hematology
52094,CD61,Blood,Hematology
52095,CD62,Blood,Hematology
52096,Chloroacetate,Blood,Hematology
52097,Circ Ab,Blood,Hematology
52098,Clot Lysis,Blood,Hematology
52099,Clot Retraction,Blood,Hematology
52100,Clot Time,Blood,Hematology
52101,Cr,Blood,Hematology
52102,Crenated Cells,Blood,Hematology
52103,Cross Imm,Blood,Hematology
52104,Cryoglob,Blood,Hematology
52105,Direct Antiplatelet Antibodies,Blood,Hematology
52106,Donath-l,Blood,Hematology
52107,dRVVT - Confirmation,Blood,Hematology
52108,dRVVT - Normalized Ratio,Blood,Hematology
52109,dRVVT - Screen,Blood,Hematology
52110,DSmear,Blood,Hematology
52111,Echinocytes,Blood,Hematology
52112,Euglobulin Lysis,Blood,Hematology
52113,Factor IX Inhibitor,Blood,Hematology
52114,Factor VIII Antigen,Blood,Hematology
52115,Fibrinoge,Blood,Hematology
52116,Fibrinogen,Blood,Hematology
52117,"Fibrinogen, Immunologic",Blood,Hematology
52119,Fitzgerld,Blood,Hematology
52120,Fitzgerld,Blood,Hematology
52121,Fletcher,Blood,Hematology
52122,Fsp,Blood,Hematology
52123,"G6PD, Qualitative",Blood,Hematology
52124,G6pd Spec,Blood,Hematology
52125,Glutathione,Blood,Hematology
52126,Heinz Aph,Blood,Hematology
52127,Helmet Cells,Blood,Hematology
52128,Hemoglobin H Inclusion,Blood,Hematology
52129,Hemoglobin Other,Blood,Hematology
52130,Histiocytes,Blood,Hematology
