LOINC_NUM,COMPONENT
38609-4,Methyl tert-butyl ether
38610-2,Methylene chloride
38611-0,Methyl isobutyl ketone
Feb-61,Nordiazepam
38612-8,Naphthalene
38613-6,Parathion
38614-4,Pentachlorophenol
38615-1,Phenol
38616-9,Propoxur
38617-7,"1,2-Dichloropropane"
38618-5,Styrene
38619-3,Dioxin
3862-0,Nordoxepin
38620-1,Tetrachloroethylene
38621-9,Toluene
38622-7,Toxaphene
38623-5,"1,2,4-Trichlorobenzene"
38624-3,"1,1,2-Trichloroethane"
38625-0,Trichloroethylene
38626-8,Vinyl chloride
38627-6,Benzene
38628-4,Benzo alpha pyrene
38629-2,Acetamide
386-3,Oxytetracycline
38630-0,Acrylate
38631-8,Allyl chloride
38632-6,4-Biphenylamine
38633-4,Benzotrichloride
38634-2,Benzyl chloride
38635-9,Biphenyl
38636-7,Di(2-Ethylhexyl) phthalate
38637-5,Bis(chloromethyl)ether
Aug-63,Norethandrolone
38638-3,Boron oxide
38639-1,Boron trifluoride
38640-9,Bromine
38641-7,Ethyl bromide
38642-5,"1,3-Butadiene"
38643-3,Calcium cyanamide
38644-1,Caprolactam
38645-8,Captan
Jun-64,Norethandrolone
38646-6,Catechol
38647-4,Chlorine
38648-2,Chlorobenzene
38649-0,Chloroform
38650-8,Chloromethyl methyl ether
38651-6,"2-Chloro-1,3-Butadiene"
38652-4,Carbonyl sulfide
Mar-65,Norethandrolone
38653-2,Amiben
38654-0,Chloroacetate
38655-7,2-Chloroacetophenone
38656-5,Chlorobenzilate
38657-3,Diazomethane
38658-1,Acetate
38659-9,Acetophenone
38660-7,Acetylene
Jan-66,Norfenefrine
38661-5,Aldrin
38662-3,Aluminum oxide
38663-1,Dichlorobenzidine
38664-9,Bis(2-Chloroethyl) ether
38665-6,Diethanolamine
38666-4,Diethylsulfate
38667-2,"3,3'-Dimethoxybenzidine"
38668-0,Dimethylaniline
38669-8,Dichlorodiphenyldichloroethylene
38670-6,Orthocresol
38671-4,M-cresol
38672-2,P-cresol
38673-0,Dimethylphthalate
38674-8,Spermatozoa.head Ab.IgA/100 spermatozoa
38675-5,Spermatozoa.midpiece Ab.IgA/100 spermatozoa
38676-3,Spermatozoa.tail tip Ab.IgA/100 spermatozoa
38677-1,Spermatozoa.tail Ab.IgA/100 spermatozoa
38678-9,Spermatozoa.head Ab.IgG/100 spermatozoa
Sep-67,Norfloxacin
38679-7,Spermatozoa.midpiece Ab.IgG/100 spermatozoa
38680-5,Spermatozoa.tail tip Ab.IgG/100 spermatozoa
38681-3,Spermatozoa.tail Ab.IgG/100 spermatozoa
38682-1,Spermatozoa.head Ab.IgM/100 spermatozoa
38683-9,Spermatozoa.midpiece Ab.IgM/100 spermatozoa
38684-7,Spermatozoa.tail tip Ab.IgM/100 spermatozoa
38685-4,Spermatozoa.tail Ab.IgM/100 spermatozoa
38686-2,Spermatozoa Ab.IgA+IgG/100 spermatozoa
Jul-68,Norfluoxetine
38687-0,2-Acetylaminofluorene
38688-8,"1,1-Dimethylhydrazine"
38689-6,Dimethyl sulfate
38690-4,"4,6-Dinitro-O-Cresol"
38691-2,"1,2-Diphenylhydrazine"
38692-0,1-Butene oxide
38693-8,Ethyl acrylate
38694-6,Chloroethane
May-69,Normeperidine
38695-3,"1,2-Dichloroethane"
38696-1,Ethylene oxide
38697-9,Ethylene thiourea
38698-7,Ethyleneimine
38699-5,"1,1-Dichloroethane"
38700-1,Formaldehyde
38701-9,Hexachlorocyclopentadiene
38702-7,Hexamethylene diisocyanate
Mar-70,Norpropoxyphene
38703-5,Hexamethylphosphoramide
38704-3,Isophorone
38705-0,Methanol
38706-8,Chloromethane
38707-6,Trichloroethane
38708-4,Methyl hydrazine
38709-2,Methyl iodide
387-1,Oxytetracycline
38710-0,Nitrobenzene
Jan-71,Norpropoxyphene
38711-8,2-Nitropropane
38712-6,N-nitrosodimethylamine
38713-4,N-nitrosomorpholine
38714-2,Pentachloronitrobenzene
38715-9,Phosgene
38716-7,Phosphine
38717-5,Phosphate
38718-3,Phthalic anhydride
38719-1,"1,3-Propane sultone"
38720-9,Beta-propiolactone
38721-7,Propionaldehyde
38722-5,Propyleneimine
38723-3,"1,4-Benzoquinone"
38724-1,Quinoline
38725-8,"Styrene-7,8-Oxide"
38726-6,Titanium tetrachloride
38727-4,"2,4 toluenediamine"
38728-2,2-Aminotoluene
Sep-72,Nortriptyline
38729-0,"2,4,5-Trichlorophenol"
38730-8,"2,4,6-Trichlorophenol"
38731-6,Triethylamine
38732-4,Trifluralin
38733-2,Vinyl acetate
38734-0,Vinyl bromide
38735-7,"1,1-Dichloroethylene"
38736-5,Animal hair+Epithelium
Jul-73,Nortriptyline
38737-3,O-anisidine
38738-1,Carbaryl
38739-9,"1,3-Dichloropropene"
38740-7,Dimethylcarbamoyl chloride
38741-5,"2,4-Dinitrophenol"
38742-3,"2,4-Dinitrotoluene"
38743-1,Hydrogen chloride
38744-9,Hydrogen fluoride
May-74,Nortriptyline
38745-6,Diphenylmethane diisocyanate (MDI)
38746-4,"4,4'-Methylene bis(2-Chloroaniline)"
38747-2,Methyl isocyanate
38748-0,Methylenedianiline
38749-8,P-nitrobiphenyl
38750-6,Para nitrophenol
38751-4,"1,4-Benzenediamine"
Feb-75,Nortriptyline
38752-2,Polychlorinated biphenyl
38753-0,Tetrachloroethane
38754-8,"2,4-Toluene diisocyanate"
38755-5,Dimethylbenzene
38756-3,"1,2-Dimethylbenzene"
38757-1,"1,3-Dimethylbenzene"
38758-9,"1,4-Dimethylbenzene"
38759-7,Aluminum
3876-0,Nortriptyline^trough >12h post dose
38760-5,Dibenzofuran
38761-3,Asphalt
38762-1,Isooctane
38763-9,Eastern equine encephalitis virus Ab.IgM
38764-7,Eastern equine encephalitis virus Ab.IgG
38765-4,Guidance for biopsy of transplanted liver
38766-2,Guidance for biopsy of transplanted kidney
38767-0,Multisection
38768-8,Multisection
38769-6,Multisection limited^WO contrast
38770-4,Multisection^WO contrast
38771-2,Views
38772-0,View true lateral
38773-8,Multisection^WO contrast
38774-6,Views
38775-3,View Brewerton
38776-1,View Harris
38777-9,View Jones
Aug-77,Ofloxacin
38778-7,Views ski jump
38779-5,View transthoracic
38780-3,View Velpeau axillary
38781-1,Views AP + axillary + outlet
38782-9,Views AP + axillary + outlet + Zanca
38783-7,Views AP + axillary + Y
38784-5,Views AP + lateral crosstable
38785-2,Views AP + lateral frog
Jun-78,Opiates
38786-0,Views AP + lateral + Sunrise
38787-8,Views AP + West Point
38788-6,Views AP + Y
38789-4,Views Grashey + axillary + Y
38790-2,Views PA + lateral + Sunrise
38791-0,Views Grashey + outlet
38792-8,Views tarsal
38793-6,Views Grashey + axillary
Apr-79,Opiates
38794-4,Views Grashey + outlet + Serendipity
38795-1,Views Grashey + West Point
38796-9,Views
38797-7,Views
38798-5,Views
38799-3,Views runoff^W contrast IA
38800-9,Views^W contrast IA
38801-7,Views^W contrast IA
Feb-80,Orphenadrine
38802-5,Multisection^WO & W contrast IV
38803-3,View 45 degree cephalic angle
38804-1,View Bora
38805-8,View Grashey
38806-6,View 10 degree caudal angle
38807-4,Views spot
38808-2,Views ulnar deviation + radial deviation
38809-0,Views^W contrast IA
3881-0,Ouabain
38810-8,Views^W standing
38811-6,Views^W contrast intra lymphatic
38812-4,Views^W contrast intra lymphatic
38813-2,Views^W contrast intra lymphatic
38814-0,Views Broden
38815-7,Views AP^W standing
38816-5,Views Grashey^WO & W weight
38817-3,Multisection for implant^WO contrast
38818-1,View^during surgery
38819-9,View lateral^during surgery
38820-7,Views for implant
38821-5,Views
38822-3,Views AP + transthoracic
38823-1,Views magnification & spot^compression
38824-9,Views Sunrise 20 degrees + Sunrise 40 degrees + Sunrise 60 degrees
38825-6,Views^W contrast intra duct
38826-4,Views^W contrast intra salivary duct
38827-2,Views^W contrast intra lacrimal duct
Aug-82,Oxacillin
38828-0,Multisection^W contrast IS
38829-8,Multisection^W contrast IV
38830-6,Multisection^W contrast IV
38831-4,Multisection^WO & W contrast IV
38832-2,Multisection^WO contrast
38833-0,Multisection^WO contrast
38834-8,Multisection^WO contrast
38835-5,Multisection^W contrast IV
Jun-83,Oxandrolone
38836-3,Multisection
38837-1,Multisection^WO & W contrast IV
38838-9,Views limited
38839-7,Views oblique
38840-5,Views 2^W manual stress
38841-3,Views 2^W standing
38842-1,View carpal tunnel
38843-9,Views 2 carpal tunnel
Apr-84,Oxandrolone
38844-7,Views 2 oblique
38845-4,Views^W standing
38846-2,Views 2
38847-0,Views AP + lateral
38848-8,Views AP + lateral + oblique
38849-6,View AP^W standing
38850-4,View^W standing
Jan-85,Oxandrolone
38851-2,Views 2^W standing
38852-0,Views 4^W standing
38853-8,Views^W contrast
38854-6,Views magnification+spot
38855-3,View true lateral
38856-1,Views anterior + lateral
38857-9,View lateral
38858-7,View Y
38859-5,Views^W contrast IV
38860-3,Views AP + lateral
38861-1,Views^W contrast IA
38862-9,Views^W contrast IA
38863-7,Views^W contrast IA
38864-5,Views^W contrast IA
38865-2,Views^W contrast IA
38866-0,Views
38867-8,Views
38868-6,Views
Sep-86,Oxazepam
38869-4,Views
38870-2,Multisection for implant^WO & W contrast IV
38871-0,Views 2 oblique
38872-8,Views^W contrast via nephrostomy tube
38873-6,Views^W contrast retrograde via urethra
38874-4,Views 2 oblique
38875-1,Coagulation tissue factor induced.INR
38876-9,Respiratory contraindications to elevating head of bed greater than 30 degrees
Jul-87,Oxazepam
38877-7,Oral care given
38878-5,Ventilator mode change reason
38879-3,Ventilator disconnect reason
38880-1,Ventilator alarm reason
38881-9,Emotional stability behavior^pre {event}
38882-7,Emotional stability behavior^post {event}
38883-5,Reintubated urgency
38884-3,Vendor serial number
May-88,Oxedrine
38885-0,Extubation urgency
38886-8,Endotracheal tube secure method
38887-6,Person present^at time of {event}
38888-4,Status of nursing unit activity level
38889-2,Personnel notified of {event}
388-9,Oxytetracycline
38890-0,Vaccine component type
38891-8,ABCC8 gene targeted mutation analysis
38892-6,Anisocytosis
Mar-89,Oxprenolol
38893-4,ARIPiprazole
38894-2,Cells.CD158
38895-9,ELA2 gene targeted mutation analysis
38896-7,F9 gene targeted mutation analysis
38897-5,Fibers
38898-3,Fibrin D-dimer
38899-1,fluPHENAZine
38900-7,HEXA gene mutations tested for
Jan-90,Oxprenolol
38901-5,Leflunomide
38902-3,LITAF gene targeted mutation analysis
38903-1,Lymphocytes
38904-9,MFN2 gene targeted mutation analysis
38905-6,MLL gene mutations tested for
38906-4,MSH6 gene targeted mutation analysis
38907-2,NIPA1 gene targeted mutation analysis
38908-0,Poikilocytosis
38909-8,PTCH gene targeted mutation analysis
38910-6,Schistocytes
38911-4,SDHC gene targeted mutation analysis
38912-2,Succinylacetone
38913-0,TBX5 gene targeted mutation analysis
38914-8,RS1 gene targeted mutation analysis
38915-5,Zinc finger protein of the cerebellum 4 Ab
38916-3,Calicivirus RNA
38917-1,Human metapneumovirus RNA
38918-9,ABCC8 gene targeted mutation analysis
Sep-91,Oxprenolol
38919-7,LITAF gene targeted mutation analysis
38920-5,MFN2 gene targeted mutation analysis
38921-3,MSH6 gene targeted mutation analysis
38922-1,PTCH gene targeted mutation analysis
38923-9,SDHC gene targeted mutation analysis
38924-7,TBX5 gene targeted mutation analysis
38925-4,RS1 gene targeted mutation analysis
38926-2,Macroprolactin
Jul-92,Oxprenolol
38927-0,TRPS1 gene targeted mutation analysis
38928-8,FAH gene targeted mutation analysis
38929-6,FAH gene targeted mutation analysis
38930-4,EXT1 gene targeted mutation analysis
38931-2,TRPS1 gene targeted mutation analysis
38932-0,VA C&P exam.acromegaly note
38933-8,VA C&P exam.aid and attendance &or housebound note
38934-6,VA C&P exam.arrhythmias note
May-93,oxyCODONE
38935-3,VA C&P exam.miscellaneous arteries &or veins note
38936-1,VA C&P exam.audio note
38937-9,VA C&P exam.bones fractures &or bone disease note
38938-7,VA C&P exam.brain &or spinal cord note
38939-5,VA C&P exam.chronic fatigue syndrome note
38940-3,VA C&P exam.cold injury protocol note
38941-1,VA C&P exam.cranial nerves note
38942-9,VA C&P exam.Cushings syndrome note
Mar-94,Oxymesterone
38943-7,VA C&P exam.dental &or oral note
38944-5,VA C&P exam.diabetes mellitus note
38945-2,VA C&P exam.miscellaneous digestive conditions note
38946-0,VA C&P exam.ear disease note
38947-8,VA C&P exam.mental health eating disorders note
38948-6,VA C&P exam.miscellaneous endocrine diseases note
38949-4,VA C&P exam.epilepsy &or narcolepsy note
3895-0,Oxymesterone
38950-2,VA C&P exam.esophagus &or hiatal hernia note
38951-0,VA C&P exam.eye note
38952-8,VA C&P exam.feet note
38953-6,VA C&P exam.fibromyalgia note
38954-4,VA C&P exam.general medical note
38955-1,VA C&P exam.genitourinary note
38956-9,VA C&P exam.disability in gulf war veterans note
38957-7,VA C&P exam.gynecological conditions &or disorders of the breast note
38958-5,VA C&P exam.hand &or thumb &or fingers note
38959-3,VA C&P exam.heart note
38960-1,VA C&P exam.hemic disorders note
38961-9,VA C&P exam.HIV-related illness note
38962-7,VA C&P exam.hypertension note
38963-5,VA C&P exam.infectious &or immune &or nutritional disabilities note
38964-3,VA C&P exam.initial evaluation post-traumatic stress disorder note
38965-0,VA C&P exam.large &or small intestines note
38966-8,VA C&P exam.extremity joints note
38967-6,VA C&P exam.liver &or gall bladder &or pancreas note
Aug-96,Oxymesterone
38968-4,VA C&P exam.lymphatic disorders note
38969-2,VA C&P exam.general mental disorders note
389-7,Oxytetracycline
38970-0,VA C&P exam.mouth &or lips &or tongue note
38971-8,VA C&P exam.muscles note
38972-6,VA C&P exam.miscellaneous neurological disorders note
38973-4,VA C&P exam.nose &or sinus &or larynx &or pharynx note
38974-2,VA C&P exam.peripheral nerves note
38975-9,VA C&P exam.prisoner of war protocol note
Jun-97,Oxymetholone
38976-7,VA C&P exam.pulmonary tuberculosis &or mycobacterial diseases note
38977-5,VA C&P exam.rectum &or anus note
38978-3,VA C&P exam.residuals of amputations note
38979-1,VA C&P exam.obstructive &or restrictive &or interstitial respiratory diseases note
38980-9,VA C&P exam.miscellaneous respiratory diseases note
38981-7,VA C&P exam.review evaluation post-traumatic stress disorder note
38982-5,VA C&P exam.scars note
38983-3,VA C&P exam.sense of smell &or taste note
Apr-98,Oxymetholone
38984-1,VA C&P exam.skin diseases other than scars note
38985-8,VA C&P exam.social &or industrial survey note
38986-6,VA C&P exam.spine note
38987-4,VA C&P exam.stomach &or duodenum &or peritoneal adhesions note
38988-2,VA C&P exam.thyroid &or parathyroid diseases note
38989-0,Clostridium botulinum toxin A+B+E+F+G
38990-8,Escherichia coli O157:H7 DNA
38991-6,Amylase
Feb-99,Oxymetholone
38992-4,Amylase
38993-2,Calcium oxalate dihydrate crystals
38994-0,Histiocytes
38995-7,Mixed cellular casts
38996-5,Neutrophils
38997-3,West Nile virus Ab.IgG
38998-1,HIV 1+Hepatitis C virus RNA
38999-9,Hospital discharge DRG
39000-5,3-Hydroxybutyrylcarnitine (C4-OH)
39001-3,3-Hydroxyisovalerylcarnitine (C5-OH)
39002-1,Adipoylcarnitine (C6-DC)
39003-9,Cytomegalovirus DNA
39004-7,Epidermal growth factor receptor Ag
39005-4,Hepatitis B virus core Ab
39006-2,Hepatitis B virus little e Ab
39007-0,Hepatitis B virus little e Ag
Aug-00,Oxyphenbutazone
39008-8,Hepatitis C virus Ab
39009-6,Isovalerylcarnitine (C5)
39010-4,Methylmalonylcarnitine (C4-DC)
39011-2,Mumps virus Ab.IgG
39012-0,Mycoplasma pneumoniae Ab
39013-8,Rubella virus Ab.IgG
39014-6,Suberylcarnitine (C8-DC)
39015-3,Treponema pallidum Ab
Jun-01,Para hydroxyamphetamine
39016-1,Age at death
39017-9,Mycobacterium tuberculosis tuberculin stimulated gamma interferon/Mitogen stimulated gamma interferon
39018-7,Coliform bacteria
39019-5,Escherichia coli O157:H7 Ag
39020-3,Prion protein.abnormal
39021-1,Prion protein.abnormal
39022-9,Sarcocystis neurona Ab
39023-7,Vesicular stomatitis Indiana virus RNA
Apr-02,Para hydroxyamphetamine
39024-5,Vesicular stomatitis New Jersey virus RNA
39025-2,Influenza virus A hemagglutinin cDNA
39026-0,Guidance for needle localization
39027-8,Guidance for needle localization
39028-6,Guidance for needle localization
39029-4,Multisection^WO & W contrast IV
39030-2,Multisection
39031-0,Multisection
Feb-03,Para hydroxyamphetamine
39032-8,Multisection for transplanted kidney
39033-6,Multisection^WO contrast
39034-4,Multisection^WO & W contrast IV
39035-1,Multisection
39036-9,Multisection
39037-7,Multisection^W contrast IV
39038-5,Multisection^W contrast IV
39039-3,Multisection
3904-0,Paraldehyde
39040-1,Multisection
39041-9,Multisection^W contrast intrauterine
39042-7,Multisection
39043-5,Multisection & 3D reconstruction
39044-3,Multisection limited
39045-0,Multisection limited
39046-8,Multisection limited for pelvimetry^WO contrast
39047-6,View^during surgery
39048-4,View AP
39049-2,View AP
390-5,Pefloxacin
39050-0,View AP
39051-8,View lateral
39052-6,View lateral
39053-4,View lateral
39054-2,Views^W contrast intra duct
39055-9,Views^W contrast IV
39056-7,Views^W manual stress
Jul-05,Paraldehyde
39057-5,Views^W contrast IA
39058-3,Views
39059-1,View && Views^W air contrast PR+W barium contrast PO
39060-9,Views 2
39061-7,Views 3
39062-5,Views 3
39063-3,Views 5^W flexion + W extension
39064-1,Views anterior + lateral
May-06,Pefloxacin
39065-8,Views AP + inlet + outlet + oblique
39066-6,Views AP + lateral && Views
39067-4,Views AP + lateral
39068-2,Views AP + lateral^W standing
39069-0,Views AP + lateral
39070-8,Views AP + lateral + apical lordotic
39071-6,Views AP + lateral + Merchants
39072-4,Views AP + lateral + oblique
Mar-07,Pemoline
39073-2,Views AP + lateral + R-oblique + L-oblique
39074-0,Views AP + lateral + R-oblique + L-oblique
39075-7,Views AP + oblique
39076-5,Views AP + oblique
39077-3,Views AP + transthoracic
39078-1,Views PA + lateral + oblique
39079-9,Views PA + oblique
39080-7,EPM2A gene targeted mutation analysis
Jan-08,Pemoline
39081-5,Gadus morhua Ab.IgE/IgE.total
39082-3,Gentamicin^peak
39083-1,Herpes virus 8 Ab
39084-9,Iva ciliata Ab.IgE/IgE.total
39085-6,Juglans california pollen Ab.IgE/IgE.total
39086-4,Microscopic observation
39087-2,Myelin associated glycoprotein Ab.IgM
39088-0,Pecten spp Ab.IgE/IgE.total
39089-8,PLP1 gene targeted mutation analysis
39090-6,Ruditapes spp Ab.IgE/IgE.total
39091-4,Sorghum halepense Ab.IgE/IgE.total
39092-2,Vancomycin^peak
39093-0,Views^W contrast IV
39094-8,Views^W contrast IA
39095-5,Views^W contrast IA
39096-3,Views for hemodynamics^W contrast IV
39097-1,Views^W contrast IA
39098-9,Views^W contrast IA
Sep-09,Pemoline
39099-7,Views 4 && view PA
39100-3,Views lateral & PA chest
39101-1,Views lateral & PA chest
39102-9,Influenza virus A hemagglutinin cDNA
39103-7,Influenza virus A neuraminidase cDNA
39104-5,Appearance
39105-2,Appearance
39106-0,Temperature
Jul-10,Pemoline
39107-8,Color
39108-6,Body hair distribution
39109-4,Turgor
39110-2,Protection
39111-0,Body site
39112-8,Body location qualifier
39113-6,Nail angle
39114-4,Depth
May-11,Penicillin
39115-1,Drainage description
39116-9,Drainage amount
39117-7,Saturated 2x2 gauze dressings
39118-5,Saturated 4x4 gauze dressings
39119-3,Saturated 4x8 gauze dressings
39120-1,Saturated abdominal dressings
39121-9,Dressing
39122-7,Fluid output.wound drain
Mar-12,Penicillin
39123-5,Wound status
39124-3,Clinical trend
39125-0,Width
39126-8,Length
39127-6,Depth
39128-4,Wound irrigation &or cleaning fluid
39129-2,Moisture
391-3,Penicillin G
39130-0,Firmness
Jan-13,Penicillin G
39131-8,Color
39132-6,Color
39133-4,Color
39134-2,Color
39135-9,Wound assessment panel
39136-7,Skin assessment panel
39137-5,Oral assessment panel
39138-3,Guidance for vascular access
39139-1,Guidance for vascular access
39140-9,Multisection cine for blood flow velocity mapping
39141-7,Multisection
39142-5,Multisection^W contrast IV
39143-3,View^W contrast retrograde PR
39144-1,View^W air contrast PO
39145-8,Views^W contrast intra multiple ducts
39146-6,Views^W contrast intra multiple ducts
39147-4,Views^W contrast intra multiple ducts
39148-2,Views^W contrast intra multiple ducts
Sep-14,Penicillin V
39149-0,View for foreign body
39150-8,Views^post localization
39151-6,Views^W contrast intra vas deferens
39152-4,Views diagnostic
39153-2,Views screening
39154-0,Views diagnostic
39155-7,Family history or condition or disease and action
Jun-15,Pentazocine
39156-5,Body mass index
39157-3,Screen type indicator
39158-1,Screening on schedule to patient age
39159-9,Screening extent
39160-7,Visit was for recheck
39161-5,Date next screen visit
39162-3,Chronic illness indicator
39163-1,History and physical results indicator
Apr-16,Pentazocine
39164-9,History and physical follow-up status
39165-6,History and physical finding recency
39166-4,Behavioral &or mental health screen assessment
39167-2,Behavioral &or mental health screen results indicator
39168-0,Behavioral &or mental health screen follow-up status
39169-8,Behavioral &or mental health screen finding recency
39170-6,Cardiac screen results indicator
39171-4,Cardiac screen follow-up status
Feb-17,Pentazocine
39172-2,Cardiac screen finding recency
39173-0,Dental screen assessment
39174-8,Dental screen results indicator
39175-5,Dental screen follow-up status
39176-3,Dental screen finding recency
39177-1,Endocrine screen assessment
39178-9,Endocrine screen results indicator
39179-7,Endocrine screen follow-up status
3918-0,Pentazocine
39180-5,Endocrine screen finding recency
39181-3,Genitourinary screen assessment
39182-1,Genitourinary screen results indicator
39183-9,Genitourinary screen follow-up status
39184-7,Genitourinary screen finding recency
39185-4,Growth and development (includes speech) screen assessment
39186-2,Growth and development (includes speech) screen results indicator
39187-0,Growth and development (includes speech) screen follow-up status
39188-8,Growth and development (includes speech) screen finding recency
39189-6,Hearing screen assessment
39190-4,Hearing screen results indicator
39191-2,Hearing screen follow-up status
39192-0,Hearing screen finding recency
39193-8,Lead (exposure to) screen assessment
39194-6,Lead (exposure to) screen results indicator
39195-3,Lead (exposure to) screen follow-up status
39196-1,Lead (exposure to) screen finding recency
39197-9,Neurologic screen results indicator
Aug-19,Pentazocine
39198-7,Neurologic screen follow-up status
39199-5,Neurologic screen finding recency
39200-1,Nutrition screen assessment
39201-9,Nutrition screen results indicator
39202-7,Nutrition screen follow-up status
39203-5,Nutrition screen finding recency
39204-3,Orthopedic screen assessment
39205-0,Orthopedic screen results indicator
Jun-20,Pentetrazol
39206-8,Orthopedic screen follow-up status
39207-6,Orthopedic screen finding recency
39208-4,Tuberculosis exposure screen assessment
39209-2,Tuberculosis exposure screen results indicator
392-1,Penicillin G
39210-0,Tuberculosis exposure screen follow-up status
39211-8,Tuberculosis exposure screen finding recency
39212-6,Vision screen assessment
39213-4,Vision screen results indicator
Apr-21,Pentetrazol
39214-2,Vision screen follow-up status
39215-9,Vision screen finding recency
39216-7,Other screen assessment
39217-5,Other screen name
39218-3,Other screen results indicator
39219-1,Other screen follow-up status
39220-9,Other screen finding recency
39221-7,Diagnosis recommendations
Feb-22,Pentetrazol
39222-5,"Diagnosis recommendations, ICD9-CM"
39223-3,"Diagnosis recommendations, description"
39224-1,Chlamydia screen test status
39225-8,Gonorrhea screen test status
39226-6,Hemoglobin test status
39227-4,Hematocrit test status
39228-2,Lead screen test status
39229-0,Lipid screen test status
3923-0,PENTobarbital
39230-8,Sickle cell screen test status
39231-6,Syphilis screen test status
39232-4,"Screen test, other"
39233-2,"Screen test, other name"
39234-0,"Screen test, other status"
39235-7,Immunization data
39236-5,Vaccine code (CPT)
39237-3,Immunization status
39238-1,Anticipatory guidance indicator
39239-9,Anticipatory guidance or health education type
39240-7,Tobacco use status
39241-5,Tobacco use counselled
39242-3,Tobacco prevention referred
39243-1,Second hand smoke exposure
39244-9,Patient drug or alcohol use
39245-6,Drug or alcohol abuse counselled
39246-4,Risk assessment provided
39247-2,Prenatal assessment provided
Aug-24,PENTobarbital
39248-0,Prenatal interview w infants primary care provider indicator
39249-8,Program participation
39250-6,"Program participation, name"
39251-4,Other program participation name
39252-2,Foster care indicator
39253-0,Primary care practitioner (PCP) indicator
39254-8,Primary care practitioner (PCP) perform screen indicator
May-25,PENTobarbital
39255-5,Date previous screen visit
39256-3,History and physical screen assessment
39257-1,Cardiac screen assessment
39258-9,ENT screen assessment
39259-7,ENT screen results indicator
39260-5,ENT screen follow-up status
39261-3,ENT screen finding recency
39262-1,Neurologic screen assessment
Mar-26,PENTobarbital
39263-9,Tuberculin screen test status
39264-7,Urinalysis dipstick test status
39265-4,Urinalysis complete status
39266-2,Follow-up (referred to) provider &or specialist
39267-0,Reason for follow-up (referred to) provider &or specialist
39268-8,"Follow-up (referred to) provider &or specialist, name"
39269-6,"Follow-up (referred to) provider &or specialist, provider type"
39270-4,"Follow-up (referred to) provider &or specialist, address"
Jan-27,Perphenazine
39271-2,"Follow-up (referred to) provider &or specialist, phone"
39272-0,"Follow-up (referred to) provider &or specialist, network location indicator"
39273-8,Follow-up (referred to) program
39274-6,Reason for follow-up (referred to) program
39275-3,"Follow-up (referred to) program, name"
39276-1,"Follow-up (referred to) program, address"
39277-9,"Follow-up (referred to) program, phone"
39278-7,Tobacco use counselled
39279-5,Tobacco prevention referred
39280-3,Responsible party
39281-1,"Responsible party, name"
39282-9,"Responsible party, home phone number"
39283-7,"Responsible party, work number"
39284-5,Patient escort information panel
39285-2,Name
39286-0,Relationship to patient
39287-8,"Patient escort, other escort relationship"
39288-6,Pre-paid health plan indicator
Sep-28,Perphenazine
39289-4,"Follow-up (referred to) provider &or specialist, appointment date"
39290-2,"Follow-up (referred to) program, appointment date"
39291-0,Multisection^WO & W contrast IV
39292-8,Multisection^WO contrast
39293-6,Multisection^W contrast IV
39294-4,Children's preventive health services attachment
39295-1,Influenza virus A Ab
39296-9,Influenza virus A H1 Ab
Jul-29,Phenacetin
39297-7,Influenza virus A H10 Ab
39298-5,Influenza virus A H11 Ab
39299-3,Influenza virus A H12 Ab
39300-9,Influenza virus A H13 Ab
39301-7,Influenza virus A H14 Ab
39302-5,Influenza virus A H15 Ab
39303-3,Influenza virus A H2 Ab
39304-1,Influenza virus A H3 Ab
May-30,Phenacetin
39305-8,Influenza virus A H4 Ab
39306-6,Influenza virus A H5 Ab
39307-4,Influenza virus A H6 Ab
39308-2,Influenza virus A H7 Ab
39309-0,Influenza virus A H8 Ab
39310-8,Influenza virus A H9 Ab
39311-6,Influenza virus A N1 Ab.Neut
39312-4,Influenza virus A N2 Ab.Neut
Mar-31,Phenazocine
39313-2,Influenza virus A N3 Ab.Neut
39314-0,Influenza virus A N4 Ab.Neut
39315-7,Influenza virus A N5 Ab.Neut
39316-5,Influenza virus A N6 Ab.Neut
39317-3,Influenza virus A N7 Ab.Neut
39318-1,Influenza virus A N8 Ab.Neut
39319-9,Influenza virus A N9 Ab.Neut
39320-7,Prion protein.abnormal
Jan-32,Phenazocine
39321-5,Views AP internal rotation + AP external rotation + axillary
39322-3,Multisection^W contrast intradisc
39323-1,View R-posterior oblique
39324-9,View PA^W clenched fist
39325-6,View AP internal rotation + Grashey + axillary + outlet
39326-4,Views
39327-2,Views for fetal age
39328-0,Views AP internal rotation + AP external rotation
39329-8,Views AP internal rotation + AP external rotation
39330-6,Views AP + lateral^W standing
39331-4,Views AP + lateral^W standing
39332-2,Views AP + lateral^W standing
39333-0,Views AP + lateral^W standing
39334-8,Views AP + lateral + oblique^W standing
39335-5,Views AP internal rotation + AP external rotation + axillary
39336-3,Views AP internal rotation + AP external rotation + axillary
39337-1,Views AP internal rotation + AP external rotation + axillary + outlet
39338-9,Views AP internal rotation + AP external rotation + axillary + Y
Sep-33,Phenazocine
39339-7,Views AP + axillary + outlet + 30 degree caudal angle
39340-5,Views lateral^W standing + W flexion + W extension
39341-3,Views lateral + PA^W inspiration + W expiration
39342-1,Views PA & oblique^W nipple markers
